time,Theta-Q
ordinal,kelvin
7.351136645277778152e+05,3.292708999999999833e+02
7.351136645509259542e+05,3.292708999999999833e+02
7.351136645740740933e+05,3.292708999999999833e+02
7.351136645972222323e+05,3.292708999999999833e+02
7.351136646203703713e+05,3.292708999999999833e+02
7.351136646435185103e+05,3.292708999999999833e+02
7.351136646666666493e+05,3.292708999999999833e+02
7.351136646898147883e+05,3.292708999999999833e+02
7.351136647129629273e+05,3.292708999999999833e+02
7.351136647361111827e+05,3.292708999999999833e+02
7.351136647592593217e+05,3.291685999999999694e+02
7.351136647824074607e+05,3.291685999999999694e+02
7.351136648055555997e+05,3.292708999999999833e+02
7.351136648287037387e+05,3.291685999999999694e+02
7.351136648518518778e+05,3.292708999999999833e+02
7.351136648750000168e+05,3.290663000000000125e+02
7.351136648981481558e+05,3.290663000000000125e+02
7.351136649212962948e+05,3.290663000000000125e+02
7.351136649444444338e+05,3.290663000000000125e+02
7.351136649675925728e+05,3.289639999999999986e+02
7.351136649907407118e+05,3.289639999999999986e+02
7.351136650138889672e+05,3.288616999999999848e+02
7.351136650370371062e+05,3.289639999999999986e+02
7.351136650601852452e+05,3.288616999999999848e+02
7.351136650833333842e+05,3.288616999999999848e+02
7.351136651064815233e+05,3.288616999999999848e+02
7.351136651296296623e+05,3.287594000000000278e+02
7.351136651527778013e+05,3.287594000000000278e+02
7.351136651759259403e+05,3.287594000000000278e+02
7.351136651990740793e+05,3.288616999999999848e+02
