time,altitude,latitude,longitude,temperature,RH,Pressure,LWC,TAS,udvel
datenum,m,deg,deg,celsius,%,mb,g/m3,m/s,m/s
7.351136529884259216e+05,4.370000000000000000e+02,4.596323999999999899e+01,-3.083860000000015589e+00,2.310590099999999936e+01,9.376000000000000512e+01,1.043130000000000109e+03,1.992799999999999849e-01,8.531695896000000801e+01,0.000000000000000000e+00
7.351136530000000494e+05,4.360000000000000000e+02,4.596374999999999744e+01,-3.084549999999978809e+00,2.310590099999999936e+01,9.376000000000000512e+01,1.043130000000000109e+03,2.190199999999999925e-01,8.560325747999999635e+01,0.000000000000000000e+00
7.351136530115740607e+05,4.370000000000000000e+02,4.596410000000000196e+01,-3.085070000000001755e+00,2.310590099999999936e+01,9.362999999999999545e+01,1.043130000000000109e+03,2.284199999999999842e-01,8.550782463999999550e+01,0.000000000000000000e+00
7.351136530231481884e+05,4.370000000000000000e+02,4.596461000000000041e+01,-3.085919999999987340e+00,2.310590099999999936e+01,9.402000000000001023e+01,1.043130000000000109e+03,2.114999999999999936e-01,8.531695896000000801e+01,0.000000000000000000e+00
7.351136530347221997e+05,4.360000000000000000e+02,4.596513000000000204e+01,-3.086610000000007403e+00,2.310590099999999936e+01,9.453999999999999204e+01,1.043240000000000009e+03,1.964599999999999680e-01,8.503066043999999124e+01,0.000000000000000000e+00
7.351136530462963274e+05,4.350000000000000000e+02,4.596547000000000338e+01,-3.087299999999999045e+00,2.310590099999999936e+01,9.467000000000000171e+01,1.043350000000000136e+03,2.067999999999999838e-01,8.579412315999999805e+01,0.000000000000000000e+00
7.351136530578703387e+05,4.340000000000000000e+02,4.596598000000000184e+01,-3.087809999999990396e+00,2.310590099999999936e+01,9.467000000000000171e+01,1.043460000000000036e+03,1.955199999999999994e-01,8.569869031999999720e+01,0.000000000000000000e+00
7.351136530694444664e+05,4.330000000000000000e+02,4.596632999999999925e+01,-3.088500000000010459e+00,2.310590099999999936e+01,9.467000000000000171e+01,1.043570000000000164e+03,1.823599999999999943e-01,8.608042168000000061e+01,0.000000000000000000e+00
7.351136530810185941e+05,4.330000000000000000e+02,4.596683999999999770e+01,-3.089529999999996335e+00,2.310590099999999936e+01,9.427999999999998693e+01,1.043570000000000164e+03,1.701399999999999857e-01,8.579412315999999805e+01,0.000000000000000000e+00
7.351136530925926054e+05,4.320000000000000000e+02,4.596701000000000192e+01,-3.090219999999987976e+00,2.310590099999999936e+01,9.415000000000000568e+01,1.043789999999999964e+03,1.710799999999999821e-01,8.579412315999999805e+01,0.000000000000000000e+00
7.351136531041667331e+05,4.310000000000000000e+02,4.596753000000000355e+01,-3.091070000000001983e+00,2.310590099999999936e+01,9.415000000000000568e+01,1.043789999999999964e+03,1.579200000000000048e-01,8.579412315999999805e+01,0.000000000000000000e+00
7.351136531157407444e+05,4.290000000000000000e+02,4.596786999999999779e+01,-3.091929999999990741e+00,2.310590099999999936e+01,9.402000000000001023e+01,1.044120000000000118e+03,1.344200000000000117e-01,8.588955599999999890e+01,0.000000000000000000e+00
